# claude-progress.txt — mybooks

---

[2026-06-08] [Init] 프로젝트 하네스 문서 초기화 (CLAUDE.md, AGENTS.md, HARNESS.md, CONVENTIONS.md, PRODUCT_BRIEF.md, feature_list/)
[2026-06-08] [Cursor] SETUP-001 Inter 폰트(ss03), Raycast CSS 토큰, canvas 다크 배경 적용 | passes: 변경 없음
[2026-06-08] [Cursor] SETUP-002 Supabase Auth (client/server, proxy, useAuthState, /login) | passes: 변경 없음
[2026-06-08] [Cursor] SETUP-003 Raycast 네비게이션, 햄버거 메뉴, Sonner toast | passes: 변경 없음
[2026-06-08] [Cursor] BOOK-001 도서 목록/필터/검색/정렬/페이지네이션 이관 | passes: 변경 없음
[2026-06-08] [Cursor] BOOK-002 알라딘 검색 연동, 도서 등록/수정/삭제 | passes: 변경 없음
[2026-06-08] [Cursor] BOOK-003 도서 상세 모달(진행도/별점/메모 저장, 도서정보·하이라이트 탭, 목록 stale 방지) | passes: 변경 없음
[2026-06-08] [Cursor] BOOK-004 도서 하이라이트 CRUD(상세 모달 탭, /books/highlights 모아보기·필터, 로그인 프롬프트) | passes: 변경 없음
[2026-06-08] [Cursor] BOOK-005 독서 통계 모달(연도별 완독·카테고리 분포·Gemini 코멘트 캐싱) | passes: 변경 없음
[2026-06-08] [Cursor] BOOK-006 AI 도서 추천(완독 이력 기반, 보유 미독서·외부 도서 1권) | passes: 변경 없음
[2026-06-08] [Cursor] UX-001 라이트/다크/자동 테마 토글(localStorage theme-mode, Raycast 다크·mylibrary 라이트 토큰) | passes: 변경 없음
[2026-06-08] [Cursor] COMICS-001 코믹스 목록/카테고리·상태 필터/검색/페이지네이션 이관 | passes: 변경 없음
[2026-06-08] [Cursor] COMICS-002 알라딘 검색 연동, 코믹스 등록/수정/삭제(ComicsForm, server actions, 로그인 차단) | passes: 변경 없음
[2026-06-08] [Cursor] COMICS-003 코믹스 상세 모달(진행도·메모 저장, onComicUpdated로 목록 stale 방지, 로그인 차단) | passes: 변경 없음
[2026-06-08] [Cursor] PHOTO-001 포토북 목록/카테고리·별점 필터/검색/동일 모델 그룹/로그인 프롬프트 이관 | passes: 변경 없음
[2026-06-08] [Cursor] PHOTO-002 알라딘 검색 연동, 포토북 등록/수정/삭제(PhotobookForm, server actions) | passes: 변경 없음
[2026-06-08] [Cursor] PHOTO-003 포토북 상세 모달(별점·메모·방출 상태 저장, SameModelPhotobooks, stale 방지) | passes: 변경 없음
[2026-06-08] [Cursor] PHOTO-004 포토북 상세 모달 일본 Wikipedia 서머리(썸네일·더 보기 링크, 오류/미검색 시 미노출) | passes: 변경 없음
[2026-06-08] [Cursor] 도서·코믹스 조회 모달 독서진행·별점·메모 입력폼 제거(읽기 전용, partial update action 삭제) | passes: 변경 없음
[2026-06-08] [Cursor] 도서·코믹스·포토북 조회 모달 수정/삭제 버튼 아이콘화 및 우측 정렬 | passes: 변경 없음
[2026-06-08] [Cursor] 도서·코믹스·포토북 수정폼 저장/삭제 버튼 9:1 한 줄 배치 | passes: 변경 없음
[2026-06-08] [Cursor] 도서·코믹스·포토북 등록/수정폼 열림 시 백그라운드 스크롤 잠금 | passes: 변경 없음
[2026-06-08] [Cursor] UX-002 네비 로고 사이즈 확대, 메뉴 hover/selected 스타일(데스크톱·모바일 통일) | passes: 변경 없음
[2026-06-08] [Cursor] UX-002 후속 네비 hover/selected 대비 강화(테마별 nav 토큰·유틸 클래스) | passes: 변경 없음
